"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.915029918087033","-55.0","2021-03-28 12:03:33.449"
"925.25","14.625","3008 33B2 DDD9 0140 0000 0060","5.878214379177777","-55.0","2021-03-28 12:03:33.473"
"925.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.896622148632405","-55.0","2021-03-28 12:03:33.524"
"925.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","5.872078456026235","-55.0","2021-03-28 12:03:33.548"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.884350302329319","-55.5","2021-03-28 12:03:33.603"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.872078456026235","-55.0","2021-03-28 12:03:33.624"
"904.25","17.0625","3008 33B2 DDD9 0140 0000 0060","6.160466844148735","-57.5","2021-03-28 12:03:33.699"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0060","6.135923151542564","-57.0","2021-03-28 12:03:33.724"
"904.25","-19.5","3008 33B2 DDD9 0140 0000 0060","6.17273869045182","-57.0","2021-03-28 12:03:33.775"
"904.25","-9.75","3008 33B2 DDD9 0140 0000 0060","6.129787228391022","-57.0","2021-03-28 12:03:33.8"
"911.75","21.9375","3008 33B2 DDD9 0140 0000 0060","3.822680123411018","-56.0","2021-03-28 12:03:33.853"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0060","3.9208548938356986","-56.0","2021-03-28 12:03:33.875"
"911.75","26.8125","3008 33B2 DDD9 0140 0000 0060","3.847223816017188","-56.0","2021-03-28 12:03:33.93"
"911.75","56.125","3008 33B2 DDD9 0140 0000 0060","3.77972866135022","-56.0","2021-03-28 12:03:33.953"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","3.8288160465625602","-56.0","2021-03-28 12:03:34.007"
"911.75","21.9375","3008 33B2 DDD9 0140 0000 0060","3.847223816017188","-56.0","2021-03-28 12:03:34.03"
"917.75","3.9375","E200 001D 1910 0117 1310 5A02","1.9420196774632217","-69.5","2021-03-28 12:03:34.056"
"917.75","26.8125","3008 33B2 DDD9 0140 0000 0060","2.0800779483729293","-55.5","2021-03-28 12:03:34.112"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.116893487282185","-55.0","2021-03-28 12:03:34.134"
"917.75","-14.625","3008 33B2 DDD9 0140 0000 0060","2.1046216409791","-55.0","2021-03-28 12:03:34.19"
"917.75","0.9375","E200 001D 1910 0117 1310 5A02","5.2339424482658075","-69.5","2021-03-28 12:03:34.2"
"917.75","21.9375","3008 33B2 DDD9 0140 0000 0060","2.0371264863121317","-55.0","2021-03-28 12:03:34.222"
"909.25","43.9375","3008 33B2 DDD9 0140 0000 0060","4.558990901596125","-55.5","2021-03-28 12:03:34.276"
"909.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.632621979414636","-56.0","2021-03-28 12:03:34.301"
"909.25","2.4375","3008 33B2 DDD9 0140 0000 0060","4.638757902566179","-56.0","2021-03-28 12:03:34.353"
"909.25","14.625","3008 33B2 DDD9 0140 0000 0060","4.595806440505381","-56.0","2021-03-28 12:03:34.376"
"909.25","12.1875","3008 33B2 DDD9 0140 0000 0060","4.638757902566179","-56.0","2021-03-28 12:03:34.431"
"909.25","-34.125","3008 33B2 DDD9 0140 0000 0060","4.657165672020807","-56.5","2021-03-28 12:03:34.454"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0060","4.908738521234052","-56.0","2021-03-28 12:03:34.528"
"908.25","-4.875","3008 33B2 DDD9 0140 0000 0060","4.945554060143307","-56.0","2021-03-28 12:03:34.55"
"908.25","51.25","3008 33B2 DDD9 0140 0000 0060","4.865787059173254","-56.0","2021-03-28 12:03:34.605"
"908.25","24.375","3008 33B2 DDD9 0140 0000 0060","4.92714629068868","-56.0","2021-03-28 12:03:34.626"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.3069516312785663","-55.0","2021-03-28 12:03:34.682"
"920.25","29.25","3008 33B2 DDD9 0140 0000 0060","1.2885438618239387","-54.5","2021-03-28 12:03:34.705"
"920.25","21.9375","3008 33B2 DDD9 0140 0000 0060","1.2762720155208536","-55.5","2021-03-28 12:03:34.758"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.2946797849754812","-55.0","2021-03-28 12:03:34.782"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.3130875544301088","-54.5","2021-03-28 12:03:34.834"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.2946797849754812","-54.5","2021-03-28 12:03:34.859"
"920.25","-0.625","E200 001D 1910 0117 1310 5A02","1.043106935762236","-71.0","2021-03-28 12:03:34.869"
"927.25","-24.375","3008 33B2 DDD9 0140 0000 0060","5.240078371417351","-55.5","2021-03-28 12:03:34.94"
"927.25","21.9375","3008 33B2 DDD9 0140 0000 0060","5.1725832167503825","-55.5","2021-03-28 12:03:34.963"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.1725832167503825","-55.5","2021-03-28 12:03:35.017"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.240078371417351","-55.0","2021-03-28 12:03:35.04"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.4296700943094176","-55.0","2021-03-28 12:03:35.094"
"919.75","-7.3125","3008 33B2 DDD9 0140 0000 0060","1.4419419406125027","-54.5","2021-03-28 12:03:35.116"
"919.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.4603497100671303","-55.0","2021-03-28 12:03:35.172"
"919.75","17.0625","3008 33B2 DDD9 0140 0000 0060","1.4787574795217582","-55.0","2021-03-28 12:03:35.194"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.4480778637640452","-55.0","2021-03-28 12:03:35.249"
"919.75","24.375","3008 33B2 DDD9 0140 0000 0060","1.3989904785517047","-55.0","2021-03-28 12:03:35.272"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.3129320807286708","-55.0","2021-03-28 12:03:35.347"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0060","0.28838838812250056","-54.5","2021-03-28 12:03:35.369"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.2761165418194154","-54.5","2021-03-28 12:03:35.422"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0060","0.2699806186678728","-54.5","2021-03-28 12:03:35.445"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.1782527187976104","-55.5","2021-03-28 12:03:35.501"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.1782527187976104","-55.5","2021-03-28 12:03:35.524"
"917.25","12.1875","3008 33B2 DDD9 0140 0000 0060","2.2518837966161214","-56.0","2021-03-28 12:03:35.577"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0060","2.2518837966161214","-55.5","2021-03-28 12:03:35.599"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.1782527187976104","-55.5","2021-03-28 12:03:35.655"
"917.25","-9.75","3008 33B2 DDD9 0140 0000 0060","2.2457478734645786","-55.5","2021-03-28 12:03:35.679"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.09817477042468103","-57.5","2021-03-28 12:03:35.753"
"903.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.03681553890925539","-58.5","2021-03-28 12:03:35.774"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.09817477042468103","-58.0","2021-03-28 12:03:35.828"
"903.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.0674951546669682","-57.5","2021-03-28 12:03:35.851"
"907.75","36.5625","3008 33B2 DDD9 0140 0000 0060","5.056000676871073","-56.5","2021-03-28 12:03:35.904"
"907.75","21.9375","3008 33B2 DDD9 0140 0000 0060","5.074408446325701","-55.5","2021-03-28 12:03:35.928"
"907.75","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.135767677841127","-56.0","2021-03-28 12:03:35.982"
"907.75","-4.875","3008 33B2 DDD9 0140 0000 0060","5.117359908386499","-56.0","2021-03-28 12:03:36.005"
"907.75","24.375","3008 33B2 DDD9 0140 0000 0060","5.080544369477243","-56.0","2021-03-28 12:03:36.058"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0060","5.074408446325701","-56.0","2021-03-28 12:03:36.082"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.8475347634200645","-56.5","2021-03-28 12:03:36.156"
"905.25","31.6875","3008 33B2 DDD9 0140 0000 0060","5.8045833013592665","-56.5","2021-03-28 12:03:36.177"
"905.25","19.5","3008 33B2 DDD9 0140 0000 0060","5.829126993965437","-56.5","2021-03-28 12:03:36.233"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-56.0","2021-03-28 12:03:36.255"
"907.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.264622064023521","-56.0","2021-03-28 12:03:36.309"
"907.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.2339424482658075","-55.5","2021-03-28 12:03:36.331"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0060","5.21553467881118","-56.0","2021-03-28 12:03:36.386"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0060","5.258486140871978","-56.0","2021-03-28 12:03:36.408"
"907.25","21.9375","3008 33B2 DDD9 0140 0000 0060","5.209398755659637","-56.5","2021-03-28 12:03:36.463"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0060","5.252350217720435","-56.0","2021-03-28 12:03:36.486"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0060","5.9518454569962875","-57.0","2021-03-28 12:03:36.562"
"904.75","39.0625","3008 33B2 DDD9 0140 0000 0060","5.93343768754166","-56.5","2021-03-28 12:03:36.585"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.007068765360171","-56.5","2021-03-28 12:03:36.641"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.988660995905543","-57.0","2021-03-28 12:03:36.664"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.25157284921324513","-57.5","2021-03-28 12:03:36.718"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0060","0.22089323345553233","-57.5","2021-03-28 12:03:36.742"
"902.75","26.8125","3008 33B2 DDD9 0140 0000 0060","0.18407769454627693","-57.5","2021-03-28 12:03:36.796"
"902.75","19.5","3008 33B2 DDD9 0140 0000 0060","0.21475731030398976","-57.5","2021-03-28 12:03:36.819"
"902.75","-21.9375","3008 33B2 DDD9 0140 0000 0060","0.28225246497095796","-58.0","2021-03-28 12:03:36.872"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0060","0.25157284921324513","-57.5","2021-03-28 12:03:36.895"
"906.25","0.4375","E200 001D 1910 0119 1310 5A03","0.859029241215959","-69.0","2021-03-28 12:03:36.936"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","5.534602682691394","-56.5","2021-03-28 12:03:36.982"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.589825991055276","-56.5","2021-03-28 12:03:37.003"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0060","5.540738605842936","-57.0","2021-03-28 12:03:37.059"
"906.25","26.8125","3008 33B2 DDD9 0140 0000 0060","5.491651220630596","-56.5","2021-03-28 12:03:37.082"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0060","3.552699504743145","-55.5","2021-03-28 12:03:37.135"
"912.75","46.375","3008 33B2 DDD9 0140 0000 0060","3.5158839658338894","-56.0","2021-03-28 12:03:37.158"
"912.75","24.375","3008 33B2 DDD9 0140 0000 0060","3.5588354278946874","-55.5","2021-03-28 12:03:37.213"
"912.75","-17.0625","3008 33B2 DDD9 0140 0000 0060","3.6017868899554855","-55.5","2021-03-28 12:03:37.236"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0060","3.5465635815916023","-55.5","2021-03-28 12:03:37.29"
"912.75","-4.875","3008 33B2 DDD9 0140 0000 0060","3.5895150436524004","-55.5","2021-03-28 12:03:37.311"
"918.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.9082721001297376","-55.0","2021-03-28 12:03:37.39"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0060","1.9266798695843652","-55.0","2021-03-28 12:03:37.412"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.932815792735908","-55.0","2021-03-28 12:03:37.466"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.8775924843720249","-55.0","2021-03-28 12:03:37.489"
"921.75","2.4375","3008 33B2 DDD9 0140 0000 0060","0.8406214717613314","-55.0","2021-03-28 12:03:37.543"
